ID,Location,Description,Weapon,Post
64317,0 S CARROLLTON AV,O,FIREARM,931
64318,3800 BONNER RD,O,FIREARM,642
64324,1700 POPLAR GROVE ST,I,HANDS,813
64330,200 FONTHILL AV,O,FIREARM,842
64331,3900 FLOWERTON RD,I,HANDS,844
64332,0 N POTOMAC ST,I,HANDS,222
64334,0 N POTOMAC ST,I,HANDS,222
64338,1500 WINSTON AV,I,KNIFE,413
64339,300 E MADISON ST,O,FIREARM,312
64340,300 E MADISON ST,O,FIREARM,312
64344,4900 LIBERTY HEIGHTS AV,O,FIREARM,622
64350,700 QUAIL ST,,HANDS,242
64352,900 S BOND ST,I,HANDS,313
64353,900 S BOND ST,I,HANDS,313
64355,6300 EASTERN AV,,HANDS,242
64356,1600 CLIFTVIEW AV,,HANDS,342
64358,200 S BROADWAY,,HANDS,213
64359,,O,FIREARM,512
64360,3500 ELMORA AVE,,HANDS,434
64361,1500 SPRUCE ST,I,HANDS,911
64362,2400 WESTPORT ST,I,HANDS,921
64366,2000 HARMAN AV,,HANDS,831
64370,600 E 30TH ST,,HANDS,513
64371,600 E 30TH ST,,HANDS,513
64374,500 S CENTRAL AV,,HANDS,211
64380,5200 FLORENCE AV,O,OTHER,633
64381,3000 THORNDALE AV,,HANDS,532
64382,5900 GREENHILL AV,I,HANDS,445
64388,1500 RUSSELL ST,,HANDS,941
64390,2300 FREDERICK AVE,,HANDS,841
64391,1100 WASHINGTON BD,O,KNIFE,932
64392,1100 WASHINGTON BD,O,KNIFE,932
64394,3600 PULASKI HW,,HANDS,333
64396,4400 BELAIR RD,O,HANDS,422
64397,0 S EUTAW ST,,HANDS,111
64399,2100 BARCLAY ST,I,HANDS,341
64404,1300 N LUZERNE AV,,HANDS,332
64405,2200 EASTERN AV,O,HANDS,212
64408,1600 DIVISION ST,I,HANDS,123
64409,1600 DIVISION ST,I,HANDS,123
64410,1700 WADSWORTH WY,,FIREARM,415
64414,700 HOMESTEAD ST,O,HANDS,513
64417,4400 PARK HEIGHTS AV,O,FIREARM,614
64418,4400 PARK HEIGHTS AV,O,FIREARM,614
64420,1700 E NORTHERN PW,I,HANDS,415
64423,2600 GUILFORD AV,I,KNIFE,512
64424,2900 GREENMOUNT AV,O,FIREARM,513
64425,2900 GREENMOUNT AV,O,FIREARM,513
64428,1500 MOSHER ST,I,KNIFE,743
64433,4700 HARFORD RD,,HANDS,421
64434,2100 JEFFERSON ST,I,HANDS,321
64435,400 S WICKHAM RD,O,FIREARM,833
64436,3300 WOODSTOCK AV,I,HANDS,432
64440,1000 LIGHT ST,I,HANDS,942
64444,4900 EASTERN AV,I,HANDS,242
64445,1600 LANCASTER ST,O,HANDS,213
64446,0 E CROSS ST,O,HANDS,942
64449,2100 E LAFAYETTE AV,O,OTHER,331
64450,1100 E COLDSPRING LN,O,FIREARM,413
64461,1200 W LOMBARD ST,I,HANDS,931
64463,3200 W NORTH AV,I,KNIFE,813
64468,2200 LIBERTY HGTS AV,I,HANDS,732
64469,2200 LIBERTY HGTS AV,I,HANDS,732
64471,3000 GUILFORD AV,I,HANDS,512
64472,5800 GIST AV,I,OTHER,632
64479,1300 E EAGER ST,O,HANDS,313
64480,,O,OTHER,526
64482,2300 HARFORD RD,O,HANDS,342
64487,4100 EDMONDSON AVE,O,OTHER,844
64488,1700 N GAY ST,I,HANDS,331
64489,1500 MOSHER ST,I,KNIFE,743
64490,1500 BLOOMINGDALE RD,O,FIREARM,813
64491,5400 REISTERSTOWN RD,I,HANDS,623
64493,3700 E BALTIMORE ST,,HANDS,223
64497,2900 PRESBURY ST,I,HANDS,813
64499,2500 E BALTIMORE ST,O,KNIFE,222
64500,2300 E MONUMENT ST,I,KNIFE,221
64501,2300 E MONUMENT ST,I,KNIFE,221
64503,1100 RACE ST,,KNIFE,942
64504,0 N KENWOOD AV,,HANDS,222
64505,4400 ELDONE RD,I,OTHER,833
64506,5000 CURTIS AVE,,HANDS,911
64507,5000 CURTIS AVE,,HANDS,911
64510,2400 MARBOURNE AV,I,KNIFE,923
64515,3600 W COLD SPRING LA,O,KNIFE,643
64517,3600 W COLD SPRING LA,O,KNIFE,643
64521,1800 PRESSTMAN ST,I,OTHER,743
64523,2600 FEDERAL ST,I,HANDS,332
64524,1200 KITMORE RD,,HANDS,413
64525,1200 KITMORE RD,,HANDS,413
64526,200 E 21ST ST,O,HANDS,514
64527,1700 LAMONT AV,I,HANDS,343
64530,0 N ELLAMONT ST,I,HANDS,842
64531,2100 BRUNT ST,I,HANDS,131
64532,2400 WOODBROOK AV,I,KNIFE,733
64535,2000 E LAFAYETTE AV,I,HANDS,331
64536,1000 UPNOR RD,,HANDS,523
64562,3800 BARRINGTON RD,I,HANDS,642
64569,1200 GORSUCH AV,O,HANDS,412
64570,3800 PIEDMONT AV,I,HANDS,641
64583,2800 ST LO DR,O,OTHER,431
64586,FALLSWAY & GUILFORD AV,,HANDS,141
64590,500 N ATHOL AV,I,HANDS,843
64596,2700 OSWEGO AV,O,FIREARM,614
64597,1200 FEDERAL ST,I,HANDS,343
64598,1200 FEDERAL ST,I,HANDS,343
64602,1600 MOUNTMOR CT,I,HANDS,742
64604,1600 HAZEL ST,O,HANDS,911
64605,1600 HAZEL ST,O,OTHER,911
64606,3000 S HANOVER ST,O,HANDS,922
64607,2900 ODONNELL ST,I,HANDS,232
64611,1700 WAVERLY WY,I,HANDS,415
64613,200 N MONASTERY AV,O,KNIFE,843
64619,900 ST DUNSTANS RD,I,HANDS,523
64628,3300 W NORTHERN PW,O,FIREARM,632
64629,3300 W NORTHERN PW,O,FIREARM,632
64634,3600 MANCHESTER AV,I,FIREARM,613
64635,2100 W PATAPSCO AV,I,FIREARM,923
64638,3800 ROLAND VIEW AV,O,FIREARM,533
64639,3800 ROLAND VIEW AV,O,FIREARM,533
64640,4700 EASTERN AV,O,FIREARM,242
64641,1100 WHITMORE AV,I,FIREARM,723
64642,900 WEBB CT,I,HANDS,312
64645,2300 CALVERTON HEIGHTS AV,I,HANDS,721
64649,4500 DERBY MANOR DR,I,HANDS,532
64655,6900 PARK HEIGHTS AV,I,HANDS,631
64658,6200 WALTHER AV,,HANDS,425
64659,3500 E FAYETTE ST,,HANDS,223
64665,1000 WEBB CT,I,HANDS,312
64671,900 DRUID PK LAKE DR,I,HANDS,133
64673,200 W FAYETTE ST,O,HANDS,111
64674,3300 E BALTIMORE ST,I,HANDS,222
64676,5200 ROLAND AV,I,HANDS,521
64679,1900 MCCULLOH ST,I,KNIFE,132
64681,5000 MORAVIA RD,I,HANDS,443
64684,2500 SEABURY RD,I,HANDS,922
64685,4400 GARRISON BD,I,HANDS,642
64688,3500 ELM AV,I,FIREARM,531
64695,3800 E LOMBARD ST,I,FIREARM,223
64696,0 W MULBERRY ST,I,HANDS,111
64702,500 W PRESTON ST,I,HANDS,121
64704,200 N MONASTERY AV,O,KNIFE,843
64706,2800 PARKVIEW TR,I,HANDS,421
64707,300 BALLOU CT,I,HANDS,211
64717,4000 DEEPWOOD RD,O,FIREARM,413
64718,4000 DEEPWOOD RD,O,FIREARM,413
64719,4000 DEEPWOOD RD,O,FIREARM,413
64723,600 S BENTALOU ST,I,HANDS,841
64724,1200 DRUID HILL AV,,HANDS,123
64725,1500 ROUNDHILL RD,O,KNIFE,412
64727,400 ANNABEL AV,O,OTHER,913
64747,5300 CARRIAGE CT,I,FIREARM,823
64752,4600 PEN LUCY RD,O,FIREARM,822
64754,500 S CATON AV,O,FIREARM,833
64755,1600 Cliftview,O,FIREARM,342
64756,900 PENNSYLVANIA AV,I,HANDS,121
64757,4300 SIDEHILL RD,I,HANDS,822
64758,800 BETHUNE RD,I,HANDS,922
64759,5100 CONANT WY,I,HANDS,442
64760,200 W CHASE ST,O,OTHER,141
64762,500 BALTIC AV,I,HANDS,913
64763,500 BALTIC AV,I,HANDS,913
64767,3900 RIDGEWOOD AV,I,KNIFE,642
64775,400 S PULASKI ST,,HANDS,841
64776,1700 HOMESTEAD ST,I,HANDS,411
64777,400 S PULASKI ST,,HANDS,841
64778,2000 N CALVERT ST,I,HANDS,514
64779,1300 MC CULLOH ST,I,HANDS,132
64780,1300 MC CULLOH ST,I,HANDS,132
64781,1300 MC CULLOH ST,I,HANDS,132
64785,3900 HILTON RD,,HANDS,643
64789,1800 GUILFORD AVE,,FIREARM,311
64790,1800 GUILFORD AVE,,FIREARM,311
64792,900 DRUID HILL AV,I,HANDS,121
64793,1300 W 36TH ST,,HANDS,531
64796,4300 WEST BAY AV,I,HANDS,911
64797,1100 WHITMORE AV,I,HANDS,723
64802,200 W SARATOGA ST,O,HANDS,111
64803,1300 THAMES ST,O,OTHER,213
64806,3700 CLARINTH RD,I,KNIFE,631
64815,1900 N WASHINGTON ST,I,HANDS,331
64816,800 OLDHAM ST,I,HANDS,242
64817,3800 FORDS LA,I,HANDS,632
64820,1500 TRACTION ST,O,FIREARM,733
64821,1200 W PRATT ST,I,FIREARM,932
64826,5500 ODONNELL ST,I,HANDS,233
64828,0 S BROADWAY,I,HANDS,212
64830,200 W READ ST,I,FIREARM,142
64832,500 N CAROLINE ST,,HANDS,321
64834,400 S EATON ST,O,OTHER,231
64847,4300 SHELDON AV,I,KNIFE,442
64850,1100 CLEVELAND ST,I,HANDS,932
64858,1400 EDMONDSON AV,I,HANDS,713
64872,1200 W PRATT ST,I,KNIFE,932
64874,300 N GAY ST,O,FIREARM,211
64876,500 GLENWOOD AV,O,FIREARM,524
64877,1400 W LAFAYETTE AV,I,KNIFE,713
64879,2700 GWYNNS FALLS PW,,HANDS,611
64880,2600 JEFFERSON ST,O,HANDS,221
64881,2200 W FAYETTE ST,I,HANDS,714
64884,1400 E Cold Spring Ln,,HANDS,413
64889,2400 LIBERTY HGTS AV,I,HANDS,731
64897,2100 MOUNT ROYAL TR,O,OTHER,133
64900,,O,HANDS,527
64903,2400 LIBERTY HGTS AV,I,HANDS,731
64904,2400 LIBERTY HGTS AV,I,HANDS,731
64905,700 MILYER LA,I,HANDS,822
64909,900 E PATAPSCO AV,I,OTHER,912
64910,2400 BROOKFIELD AV,I,HANDS,133
64912,1800 N GAY ST,O,KNIFE,331
64915,1900 WOODBOURNE AV,I,KNIFE,415
64919,2400 LOYOLA NORTHW,I,HANDS,533
64924,4000 HILTON RD,I,HANDS,643
64925,1100 RAMBLEWOOD RD,I,FIREARM,522
64926,1100 RAMBLEWOOD RD,I,FIREARM,522
64927,5700 EASTERN AV,I,OTHER,241
64931,6000 EASTERN AV,O,KNIFE,241
64932,4200 SEIDEL AV,O,FIREARM,442
64933,300 E 22ND ST,I,HANDS,341
64938,400 N MILTON AV,I,KNIFE,221
64939,400 N MILTON AV,I,HANDS,221
64942,300 N FRANKLINTOWN RD,O,KNIFE,842
64954,800 WILDWOOD PW,O,HANDS,844
64955,1600 WESTWOOD AV,I,HANDS,742
64956,2400 CYLBURN AV,I,HANDS,532
64958,3400 PARKLAWN AV,I,OTHER,432
64959,100 N POPPLETON ST,O,FIREARM,712
64960,3400 LEVERTON AV,I,HANDS,223
64961,2500 PERRING MANOR RD,O,HANDS,423
64962,100 N POPPLETON ST,O,FIREARM,712
64963,1600 HAVENWOOD RD,O,HANDS,412
64964,3600 ECHODALE AV,I,OTHER,426
64970,4700 ALHAMBRA AV,O,HANDS,524
64972,5700 EASTERN AVE,I,KNIFE,241
64973,5700 EASTERN AVE,I,KNIFE,241
64975,2800 ST LO DR,I,OTHER,431
64976,100 MCMECHEN ST,I,KNIFE,132
64988,2700 PORT COVINGTON DR,I,HANDS,943
64989,2800 JEFFERSON ST,O,OTHER,221
64992,3900 EIERMAN AV,I,OTHER,422
65002,2400 GWYNNS FALLS PKWY,I,FIREARM,731
65003,5400 REISTERSTOWN RD,O,OTHER,623
65006,1600 N CAROLINE ST,O,KNIFE,343
65009,4700 PIMLICO RD,O,FIREARM,614
65014,6100 FAIRDEL AV,I,HANDS,425
65026,1900 Broadway,O,KNIFE,342
65027,1000 E PATAPSCO AV,I,FIREARM,912
65029,800 N BRADFORD ST,I,HANDS,323
65032,1600 EASTERN AV,I,HANDS,213
65034,5600 THE ALAMEDA,I,OTHER,522
65035,2000 ROBB ST,I,OTHER,342
65036,3800 MONTEREY RD,I,HANDS,412
65041,2100 MARYLAND AVE,,OTHER,514
65044,3700 5TH ST,I,HANDS,913
65046,4900 EASTERN AV,O,FIREARM,242
65048,1100 CARROLL ST,I,HANDS,932
65049,6100 EVERALL AV,I,OTHER,425
65051,4400 MORAVIA RD,I,KNIFE,443
65052,1600 E 25TH ST,I,HANDS,342
65055,400 E EAGER ST,I,KNIFE,311
65056,0 W BIDDLE ST,O,KNIFE,141
65057,2400 E BALTIMORE ST,O,HANDS,221
65058,2700 E OLIVER ST,I,KNIFE,332
65061,800 W LOMBARD ST,I,HANDS,931
65062,4900 EASTERN AV,I,HANDS,242
65063,4800 WILERN AV,O,HANDS,614
65064,4900 EASTERN AV,I,HANDS,242
65065,4800 WILERN AV,O,HANDS,614
65069,3200 THE ALAMEDA,O,FIREARM,411
65076,6000 AMBERWOOD RD,I,HANDS,443
65077,2400 WINCHESTER ST,I,HANDS,723
65080,900 N STRICKER ST,I,HANDS,743
65083,1500 E NORTHERN PKWY,O,FIREARM,415
65084,1500 RUSSELL ST,I,HANDS,941
65085,6400 PULASKI HW,I,KNIFE,241
65086,1400 MOUNTMOR CT,I,HANDS,743
65087,200 GUILFORD AVE,,OTHER,111
65088,200 GUILFORD AVE,,OTHER,111
65089,200 GUILFORD AVE,,OTHER,111
65096,1000 N BROADWAY,I,HANDS,322
65108,700 BEAUMONT AVE,O,FIREARM,524
65110,6000 WINTHROPE AV,I,FIREARM,425
65113,1800 N FULTON AV,O,HANDS,742
65114,600 N ELLWOOD AV,O,FIREARM,224
65115,600 N ELLWOOD AV,O,FIREARM,224
65116,600 N ELLWOOD AV,O,FIREARM,224
65120,4500 N ROGERS AV,O,FIREARM,623
65131,,O,HANDS,733
65132,1200 KITMORE RD,I,HANDS,413
65133,1200 KITMORE RD,I,HANDS,413
65136,1100 PENNSYLVANIA AV,I,HANDS,123
65139,4400 CHALET CT,I,OTHER,443
65144,3200 NORMOUNT AVE,I,OTHER,813
65148,4200 MORRISON CT,I,HANDS,911
65150,500 N CLINTON ST,I,KNIFE,224
65153,5200 HILLBURN AV,I,HANDS,426
65154,5200 HILLBURN AV,I,HANDS,426
65155,5200 HILLBURN AV,I,HANDS,426
65156,5200 HILLBURN AV,I,HANDS,426
65157,5200 HILLBURN AV,I,HANDS,426
65158,5200 HILLBURN AV,I,HANDS,426
65159,5200 HILLBURN AV,I,HANDS,426
65167,2000 E FAYETTE ST,O,HANDS,212
65176,1100 PARK AV,I,HANDS,132
65177,1400 BLOOMFIELD AV,I,KNIFE,832
65180,1900 MCCULLOH ST,I,HANDS,131
65182,3500 MOUNT PLEASANT AVE,I,HANDS,223
65183,3700 W COLD SPRING LA,I,HANDS,642
65185,800 WASHINGTON BD,I,HANDS,932
65189,3000 HAMLON AVE,I,HANDS,425
65195,2600 QUANTICO AV,I,HANDS,533
65198,2500 HOLLINS FERRY RD,O,FIREARM,921
65206,700 BENNINGHAUS RD,I,OTHER,523
65210,2700 N CALVERT ST,I,HANDS,512
65218,500 BEAUMONT AV,I,KNIFE,524
65219,500 BEAUMONT AV,I,KNIFE,524
65220,500 BEAUMONT AV,I,KNIFE,524
65223,3400 ERDMAN AV,I,KNIFE,432
65224,200 ROBERT ST,O,OTHER,132
65225,5400 KNELL AV,I,FIREARM,444
65226,3400 BELAIR RD,O,HANDS,432
65235,400 IMLA ST,I,HANDS,241
65237,3500 JUNEWAY,I,HANDS,432
65238,5700 WINTHROPE AV,I,HANDS,425
65242,2000 DRUID HILL AV,I,HANDS,131
65251,2400 EUTAW PL,I,HANDS,133
65256,3600 PULASKI HW,I,HANDS,333
65257,3600 PULASKI HW,I,HANDS,333
65258,3600 PULASKI HW,I,HANDS,333
65259,200 MASON CT,I,FIREARM,211
65260,5300 FRANKFORD AV,O,FIREARM,444
65261,200 MASON CT,I,FIREARM,211
65269,2500 HURON ST,O,FIREARM,921
65270,2500 HURON ST,O,FIREARM,921
65271,4100 EDMONDSON AVE,O,HANDS,844
65272,4100 PATTERSON AVE,I,HANDS,631
65273,4100 PATTERSON AVE,I,OTHER,631
65276,900 STAMFORD RD,O,FIREARM,823
65277,1100 HAVERHILL RD,O,FIREARM,832
65279,1100 HAVERHILL RD,O,FIREARM,832
65283,1100 CLEVELAND ST,O,HANDS,932
65284,200 NORTH BEND RD,O,HANDS,823
65285,300 S CHESTER ST,O,FIREARM,212
65288,400 N CLINTON ST,O,OTHER,224
65298,500 W PRESTON ST,I,HANDS,121
65305,1300 WASHINGTON BD,I,HANDS,932
65306,2500 E NORTHERN PW,I,HANDS,423
65308,2500 E NORTHERN PW,I,HANDS,423
65312,0 S CALVERTON RD,O,HANDS,842
65314,900 COPPIN CT,I,HANDS,922
65316,2100 ST PAUL ST,I,HANDS,514
65333,6600 HUDSON ST,I,HANDS,243
65335,900 N ROSEDALE ST,I,HANDS,814
65337,900 N ROSEDALE ST,I,HANDS,814
65338,400 E PRESTON ST,I,FIREARM,311
65339,6200 WALTHER AV,I,HANDS,425
65340,3300 PIEDMONT AV,I,HANDS,641
65341,AV & S CONKLING ST,I,HANDS,233
65344,2800 BEECHLAND AVE,I,HANDS,423
65345,400 N CAROLINE ST,O,HANDS,321
65349,2500 KEYWORTH AV,I,HANDS,533
65351,1500 IMLA ST,I,HANDS,243
65353,3800 COTTAGE AV,I,KNIFE,533
65354,3700 BONVIEW AV,I,HANDS,432
65359,300 E NORTH AV,I,HANDS,311
65363,1600 E COLD SPRING LN,O,FIREARM,413
65368,0 W NORTH AV,O,KNIFE,141
65369,0 W NORTH AV,O,KNIFE,141
65372,100 E 26TH ST,O,KNIFE,512
65374,3000 Liberty Heights Av,O,FIREARM,643
65378,400 N BOULDIN ST,I,HANDS,224
65380,0 BENTALOU ST,O,FIREARM,714
65382,3300 ECHODALE AV,O,FIREARM,426
65384,0 N BENTALOU ST,O,FIREARM,714
65386,1600 N HILTON ST,I,HANDS,813
65388,5500 ODONNELL ST,I,OTHER,233
65389,5500 ODONNELL ST,I,OTHER,233
65392,200 S BROADWAY,O,HANDS,213
65393,100 W LEXINGTON ST,I,FIREARM,111
65395,1600 GORSUCH AV,I,HANDS,411
65397,4400 PRUDENCE ST,I,FIREARM,911
65402,1700 N WOLFE ST,O,HANDS,331
65403,600 N BELNORD AV,O,HANDS,221
65404,1200 EDISON HW,,HANDS,332
65405,1200 EDISON HW,O,HANDS,332
65407,5600 MCCLEAN BD,O,FIREARM,423
65408,400 ILCHESTER AV,I,HANDS,513
65409,1600 W FAYETTE ST,O,FIREARM,711
65410,1600 W FAYETTE ST,O,FIREARM,711
65411,700 N CHARLES ST,I,HANDS,941
65413,3500 N CHARLES ST,I,HANDS,511
65414,800 E JEFFREY ST,I,HANDS,913
65415,6300 BELAIR RD,O,FIREARM,445
65418,1300 N BENTALOU ST,O,HANDS,723
65422,3900 E MONUMENT ST,I,KNIFE,333
65427,1400 W FRANKLIN ST,O,HANDS,713
65432,1400 N COLLINGTON AV,I,HANDS,331
65442,1800 W LOMBARD ST,O,OTHER,934
65444,1100 N PATTERSON PK AV,O,FIREARM,322
65445,1100 N Patterson Park Av,O,FIREARM,322
65449,5300 BOWLEYS LA,I,HANDS,443
65452,1000 E LOMBARD ST,I,FIREARM,211
65453,900 STAMFORD RD,O,FIREARM,823
65455,100 THOMAS GUIDERRA CR,I,HANDS,843
65458,5100 RAINTREE WY,I,KNIFE,442
65459,2300 E LAFAYETTE AV,O,FIREARM,331
65461,2300 E LAFAYETTE AV,O,FIREARM,331
65462,2300 E LAFAYETTE AV,O,FIREARM,331
65463,1100 GORSUCH AV,I,OTHER,513
65467,4500 EDMONDSON AV,I,KNIFE,822
65471,2800 ST LO DR,I,HANDS,431
65475,4900 LIBERTY HGTS AV,I,HANDS,622
65476,4900 LIBERTY HGTS AV,I,HANDS,622
65487,2000 WHITTIER AV,I,KNIFE,731
65490,2900 LIMOND PL,O,FIREARM,513
65492,4700 IVANHOE AV,I,FIREARM,524
65494,1300 W NORTH AVE,I,FIREARM,131
65495,3400 WINDSOR AV,O,FIREARM,812
65496,5200 FRANKFORD AV,I,HANDS,443
65503,1100 PARK AVE,O,FIREARM,132
65506,3700 TOONE ST     #APT 1107,I,HANDS,232
65507,2600 MILES AV,I,FIREARM,511
65523,4900 EASTERN AV,I,HANDS,242
65526,1800 PENNSYLVANIA AVE,O,HANDS,123
65531,1900 BLOOMINGDALE RD,O,FIREARM,811
65532,1900 BLOOMINGDALE RD,O,FIREARM,811
65534,3900 DUDLEY AV,I,HANDS,432
65537,4900 EASTERN AV,I,HANDS,242
65546,700 GUILFORD AV,O,HANDS,142
65547,700 GUILFORD AV,O,HANDS,142
65549,3900 HILTON RD,I,HANDS,643
65551,4800 WILEM AVE,O,FIREARM,614
65552,4800 WILERN AV,O,FIREARM,614
65557,2400 FREDERICK AV,O,HANDS,842
65558,2400 DORTON CT,I,HANDS,921
65560,500 WALKER AV,I,OTHER,522
65561,500 WALKER AV,I,OTHER,522
65562,500 WALKER AV,I,OTHER,522
65563,500 WALKER AV,I,OTHER,522
65564,1300 W 36TH ST,I,KNIFE,531
65566,0 N KRESSON ST,I,OTHER,241
65570,2300 WALBROOK AV,O,FIREARM,731
65576,3300 OLD FREDERICK RD,O,HANDS,842
65578,6400 PIONEER DR,I,HANDS,423
65579,200 N Montford,O,HANDS,221
65584,2800 N DUKELAND ST,O,HANDS,611
65586,400 E PATAPSCO AV,I,FIREARM,913
65587,3700 S HANOVER ST,I,FIREARM,913
65589,100 E FAYETTE ST,O,HANDS,111
65593,0 S CALVERT ST,I,FIREARM,111
65596,4700 GREENSPRING AV,I,KNIFE,533
65604,2400 SEAMON AVE,I,HANDS,922
65611,700 EDGEWOOD ST,I,HANDS,844
65614,2400 WILGREY CT,I,HANDS,921
65626,2900 MARKLEY AV,I,HANDS,421
65628,3400 ELLERSLIE AV,I,HANDS,543
65643,1600 N CALHOUN ST,I,HANDS,742
65649,3700 EASTERN AV,I,FIREARM,231
65650,2100 W FAYETTE ST,O,KNIFE,714
65653,1200 HARWOOD AV,I,HANDS,414
65654,2700 TALBOT RD,O,OTHER,641
65656,5800 REISTERSTOWN RD,I,FIREARM,631
65657,5800 REISTERSTOWN RD,I,FIREARM,631
65658,2300 SEAMON AV,I,KNIFE,922
65660,3500 CLARKS LN,I,OTHER,632
65681,6400 PIONEER DR,I,KNIFE,423
65683,1000 BRANCHWATER CT,I,HANDS,313
65688,500 N FULTON AV,I,HANDS,713
65698,1100 E NORTH AV,O,HANDS,342
65701,600 CHERRY HILL RD,I,HANDS,922
65702,4000 FALLS RD,O,HANDS,531
65703,4000 FALLS RD,O,HANDS,531
65704,6600 HOLABIRD AV,O,HANDS,243
65705,6600 HOLABIRD AV,O,HANDS,243
65706,6600 HOLABIRD AV,O,HANDS,243
65710,700 SPRINGFIELD AV,O,OTHER,542
65711,3600 EASTERN AVE,O,HANDS,231
65715,6100 BIRCHWOOD AV,I,HANDS,423
65720,2100 CALLOW AV,I,KNIFE,133
65721,2100 CALLOW AV,,KNIFE,133
65733,1700 FLEET ST,I,KNIFE,213
65735,3500 W BELVEDERE AV,I,FIREARM,614
65736,4100 MARIBAN CT,I,HANDS,913
65737,4100 MARIBAN CT,I,HANDS,913
65738,100 E 25TH ST,I,KNIFE,512
65740,4400 CHALET CT,O,HANDS,443
65742,1400 BLOOMFIELD RM 334,I,FIREARM,832
65746,1000 E LOMBARD ST,I,FIREARM,211
65752,3100 HERBERT ST,O,KNIFE,811
65756,5300 MORAVIA RD,O,FIREARM,443
65757,1500 NORTHGATE RD,I,OTHER,412
65758,1500 N DURHAM ST,I,HANDS,331
65759,5100 RAINTREE WAY,O,FIREARM,442
65760,1300 N MILTON AV,I,HANDS,331
65761,3600 9TH ST,O,FIREARM,913
65762,3600 9TH ST,O,FIREARM,913
65763,2600 HURON ST,I,FIREARM,921
65764,1000 BETHUNE RD,I,HANDS,922
65765,1100 S CHARLES ST,I,HANDS,942
65768,1700 POPLAR GROVE ST,O,KNIFE,813
65771,6700 GERMAN HILL RD,I,HANDS,243
65778,2600 HURON ST,I,FIREARM,921
65782,1400 LONGWOOD ST,O,OTHER,813
65783,3500 WILKENS AV,I,HANDS,832
65788,1900 BARCLAY ST,I,HANDS,341
65794,0 LIGHT ST,I,KNIFE,111
65795,2500 E NORTHERN PW,I,HANDS,423
65796,2500 E NORTHERN PW,I,HANDS,423
65801,2000 EDMONDSON AV,I,FIREARM,722
65810,5200 FRANKFORD AV,I,HANDS,443
65818,24TH ST & GREENMOUNT AV,O,OTHER,342
65819,100 S CULVER ST,O,OTHER,842
65822,1400 ORLEANS ST,I,OTHER,321
65824,700 E 43RD ST,I,FIREARM,542
65825,700 E 43RD ST,I,FIREARM,542
65826,1800 WASHINGTON BD,O,KNIFE,941
65827,1800 WASHINGTON BD,O,KNIFE,941
65828,3800 GREENSPRING AVE,O,FIREARM,612
65830,2700 SHIREY AV,O,FIREARM,421
65839,3800 BONVIEW AV,I,OTHER,432
65845,500 RAPPOLLA ST,I,HANDS,242
65848,4400 MARBLE HALL RD,I,HANDS,413
65849,4400 MARBLE HALL RD,I,HANDS,413
65853,400 FURROW ST,O,FIREARM,841
65855,2100 E BIDDLE ST,I,KNIFE,331
65856,2100 E BIDDLE ST,I,HANDS,331
65857,600 CUMBERLAND ST,I,KNIFE,733
65858,800 PARK AV,I,HANDS,142
65862,2800 MAYFIELD AV,O,FIREARM,432
65863,300 N EUTAW ST,I,OTHER,111
65864,1100 N DUKELAND ST,I,FIREARM,814
65865,1100 N DUKELAND ST,O,FIREARM,814
65866,900 POPLAR GROVE ST,O,FIREARM,814
65867,900 POPLAR GROVE ST,O,FIREARM,814
65870,2000 PENNSYLVANIA AV,I,FIREARM,123
65872,300 S WOODYEAR,O,FIREARM,935
65873,300 S WOODYEAR,O,FIREARM,935
65877,5900 GREENHILL AV,I,HANDS,445
65879,2800 HUDSON ST,O,HANDS,232
65880,3600 FORDS LA,I,HANDS,632
65884,200 E UNIVERSITY PW,I,KNIFE,512
65885,700 S BROADWAY,I,HANDS,213
65887,500 LIGHT ST,I,HANDS,941
65888,1400 LIGHT ST,I,HANDS,942
65890,700 E 41ST ST,I,OTHER,542
65891,700 E 41ST ST,I,OTHER,542
65892,1400 E FAYETTE ST,O,HANDS,212
65897,2500 W FRANKLIN ST,O,FIREARM,721
65904,800 CATHEDRAL ST,I,HANDS,142
65928,400 ROBERT ST,I,HANDS,132
65929,5000 CHALGROVE AV,I,HANDS,614
65931,500 ANNABEL AV,I,HANDS,913
65932,500 ANNABEL AV,I,HANDS,913
65936,1900 BARCLAY ST,O,HANDS,341
65937,6600 EBERLE DR,I,KNIFE,631
65943,4500 FURLEY AV,O,KNIFE,443
65946,4100 FAIRFAX RD,I,FIREARM,641
65947,5100 REISTERSTOWN RD,I,FIREARM,613
65948,2500 W BELVEDERE AV,I,HANDS,532
65950,2900 HARFORD RD,I,KNIFE,411
65953,400 IMLA ST,O,FIREARM,241
65954,400 IMLA ST,O,FIREARM,241
65955,3000 BELMONT AV,O,FIREARM,813
65956,6100 BESSEMER AV,I,HANDS,243
65958,900 N BROADWAY,I,HANDS,321
65959,2500 ASHTON ST,I,HANDS,841
65960,5500 BOWLEYS LA,I,FIREARM,443
65963,400 ANGLESEA ST,I,HANDS,241
65968,1000 DRUID HILL AVE,O,FIREARM,123
65970,600 N POTOMAC ST,I,HANDS,224
65972,1400 N GILMOR ST,O,FIREARM,742
65974,2300 W NORTH AV,I,HANDS,731
65975,5100 QUEENSBERRY AV,O,OTHER,614
